      Time       Date     Sample #  Type  Sub Chan  Num	Aux
[12:44:30.472 08/02/1996]      728     "    0    3    0	IRREGULAR HR   
[12:44:31.496 08/02/1996]      729     "    0    3    0	IRREGULAR HR   
[12:44:32.520 08/02/1996]      730     "    0    3    0	IRREGULAR HR   
[12:44:33.544 08/02/1996]      731     "    0    3    0	IRREGULAR HR   
[12:44:34.568 08/02/1996]      732     "    0    3    0	IRREGULAR HR   
[12:44:35.592 08/02/1996]      733     "    0    3    0	IRREGULAR HR   
[12:44:36.616 08/02/1996]      734     "    0    3    0	IRREGULAR HR   
[12:44:37.640 08/02/1996]      735     "    0    3    0	IRREGULAR HR   
[12:44:38.664 08/02/1996]      736     "    0    3    0	IRREGULAR HR   
[12:44:39.688 08/02/1996]      737     "    0    3    0	IRREGULAR HR   
[12:44:40.712 08/02/1996]      738     "    0    3    0	IRREGULAR HR   
[12:44:41.736 08/02/1996]      739     "    0    3    0	IRREGULAR HR   
[12:44:42.760 08/02/1996]      740     "    0    3    0	IRREGULAR HR   
[12:44:43.784 08/02/1996]      741     "    0    3    0	IRREGULAR HR   
[12:44:44.808 08/02/1996]      742     "    0    3    0	IRREGULAR HR   
[12:44:45.832 08/02/1996]      743     "    0    3    0	IRREGULAR HR   
[12:44:46.856 08/02/1996]      744     "    0    3    0	IRREGULAR HR   
[12:44:47.880 08/02/1996]      745     "    0    3    0	IRREGULAR HR   
[12:44:48.904 08/02/1996]      746     "    0    3    0	IRREGULAR HR   
[12:44:49.928 08/02/1996]      747     "    0    3    0	IRREGULAR HR   
[12:44:50.952 08/02/1996]      748     "    0    3    0	IRREGULAR HR   
[12:44:51.976 08/02/1996]      749     "    0    3    0	IRREGULAR HR   
[12:44:53.000 08/02/1996]      750     "    0    3    0	IRREGULAR HR   
[12:44:54.024 08/02/1996]      751     "    0    3    0	IRREGULAR HR   
[12:44:55.048 08/02/1996]      752     "    0    3    0	IRREGULAR HR   
[12:44:56.072 08/02/1996]      753     "    0    3    0	IRREGULAR HR   
[12:44:57.096 08/02/1996]      754     "    0    3    0	IRREGULAR HR   
[12:44:58.120 08/02/1996]      755     "    0    3    0	IRREGULAR HR   
[12:44:59.144 08/02/1996]      756     "    0    3    0	IRREGULAR HR   
[12:45:00.168 08/02/1996]      757     "    0    3    0	IRREGULAR HR   
[12:45:01.192 08/02/1996]      758     "    0    3    0	IRREGULAR HR   
[12:45:02.216 08/02/1996]      759     "    0    3    0	IRREGULAR HR   
[12:45:03.240 08/02/1996]      760     "    0    3    0	IRREGULAR HR   
[12:45:04.264 08/02/1996]      761     "    0    3    0	IRREGULAR HR   
[12:45:05.288 08/02/1996]      762     "    0    3    0	IRREGULAR HR   
[12:45:06.312 08/02/1996]      763     "    0    3    0	IRREGULAR HR   
[12:45:07.336 08/02/1996]      764     "    0    3    0	IRREGULAR HR   
[12:45:08.360 08/02/1996]      765     "    0    3    0	IRREGULAR HR   
